Item_No,Entry_No,Title,Journal,Authors,Abstract,Year,DOI,TheoryName,Subtypes_N,Subtypes_No.,Subtype_Label,Subtype_Description,Subtype_UniLabel,Subtype_Prevalence
ID20,ID20_01,The summary writing performance of bilingual learners with reading difficulties,Annals of Dyslexia,"Li, M., Chan, J., & Kirby, J. R.","Writing is an important tactic for learning from text and the summaries provide information on students' comprehension and learning processes. We investigated the nature of the summaries produced by bilingual adolescents, and whether their summaries were related to their reading abilities in their first and second languages. In each language, we examined the performance of students identified as typically developing, poor decoders, or poor comprehenders. Participants were 246 grade 8 students enrolled in English immersion programs in China. Measures included English word reading and reading comprehension, Chinese word reading and reading comprehension, and nonverbal ability. Students' text-absent summaries of an English 254-word expository passage were analyzed for the number of themes, main ideas, important details, and unimportant details. Using latent profile analysis, participants were identified as typical readers (TR, n=123), poor decoders (PD, n=74), or poor comprehenders (PC, n=49) in English, and TR (n=129), PD (n=74), or PC (n=43) in Chinese, based on word reading and reading comprehension in both English and Chinese. MANCOVA results showed that after controlling for nonverbal ability, in the English-defined groups, the TR group outperformed PD and PC on themes, main ideas, and important details; in the Chinese-defined groups, the TR group outperformed PD and PC on themes, TR performed better than PC on main ideas and important details, and PD outperformed PC on main ideas. Discussion focuses on the difficulties faced by bilingual students with reading difficulties and on the potential of summary writing instruction to improve their comprehension and learning processes.Copyright ¬© 2022. Crown.",2023,10.1007/s11881-022-00258-0,"Construction-integration model (Kintsch, 1998)",3,S7,Not applicable,Not applicable,Not applicable,Not applicable
ID23,ID23_01,Stroop performance is related to reading profiles in Hebrew‚Äêspeaking individuals with dyslexia and typical readers,Dyslexia: An International Journal of Research and Practice,"Abo-elhija, D., Farah, R., & Horowitz-Kraus, T.","There is a debate in the literature regarding the level of contribution of executive functions (EF) to reading comprehension (RC), in the context of the simple view of reading (SVR) model. The current study aims to create sub‚Äêprofiles of reading and cognitive abilities based on a measure traditionally used for evaluating EF, that is, the Stroop task, and specifically, Stroop time. Ninety‚Äêseven adults with and without reading difficulties performed reading and cognitive tasks, including the Stroop tests. Four groups were created based on Stroop performance time and a reading profile was created for each group. A mediation analysis was conducted to determine if reading accuracy and linguistic abilities predict RC mediated by Stroop time. Participants with a shorter Stroop time demonstrated better reading abilities, whereas those with longer Stroop time showed decreased reading performance. Stroop time was also negatively associated with better performance in additional cognitive abilities. A mediation analysis suggested that decoding ability and linguistic ability predict RC through EF. Our findings support the SVR model and the involvement of EF in reading proficiency and might be used for designing EF‚Äêbased interventions for reading and RC difficulties. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2022,10.1002/dys.1708,Unknown,4,S7,Not applicable,Not applicable,Not applicable,Not applicable
ID28,ID28_01,Is executive dysfunction a potential contributor to the comorbidity between basic reading disability and attention-deficit/hyperactivity disorder?,Child Neuropsychology: A Journal on Normal and Abnormal Development in Childhood and Adolescence,"Kibby, M. Y., Newsham, G., & Imre, Z., & Schlak, J. E.","Our study is one of the few to analyze executive functioning (EF) in a comprehensive, multi-modal fashion as a potential contributor to the comorbidity between attention-deficit/hyperactivity disorder (ADHD) and basic reading disability (RD). We included multiple, traditional, neuropsychological measures of EF, along with the Behavior Rating Inventory of Executive Function (BRIEF) questionnaire, to assess inhibit, shift, working memory (WM), planning, generation fluency, and problem-solving. Participants included 263 children, ages 8-12 years, with RD, ADHD, RD/ADHD, and typically developing controls. When using the traditional measures in a 2 x 2 MANCOVA, we found both RD and ADHD had poor cognitive EF in most areas at the group level, with phonological loop deficits being more specific to RD and behavioral regulation deficits being more specific to ADHD. Children with RD/ADHD performed comparably to those with RD and ADHD alone. Results were similar on the BRIEF. In contrast, only WM predicted both basic reading and inattention when the data were assessed in a continuous fashion. It also explained the correlations between basic reading and inattention, being worthy of longitudinal research to determine if it is a shared contributor to RD/ADHD. When comparing hypotheses as to the nature of RD/ADHD, we found the multiple deficit hypothesis was better supported by our EF data than the phenocopy hypothesis or the cognitive subtype hypothesis.",2021,10.1080/09297049.2021.1908532,Multiple-deficit theory,3,S7,Not applicable,Not applicable,Not applicable,Not applicable
ID32,ID32_01,Diagnostic implications of the double deficit model for young adolescents with dyslexia,Dyslexia: An International Journal of Research and Practice,"Harrison, A. G., & Stewart, M.","Considerable support exists for both the phonological core deficit and the naming speed deficit models of dyslexia. The double deficit model proposed that many students with dyslexia might also be impaired in both underlying processes. Employing either performance thresholds (i.e., scores below the 16th or 25th percentile) or k‚Äêmeans clustering as classification methods, the current study investigated whether 154 young adolescents with dyslexia could be categorized into subtypes according to the presence or absence of phonological deficits alone, naming speed deficits alone, or a combination of the two and whether group composition changed depending on classification method. Results support the existence of both single and double deficit groups and confirm that those with both deficits are the most severely impaired across multiple measures. Contrary to previous research, most adolescents were classified as either naming speed only (about a third of the group) or double deficit when defining impairment using performance thresholds to classify groups. This may suggest that although early phonological deficits are amenable to remediation, identification of language symbols fails to become automatized in most individuals with dyslexia and may require more targeted intervention. Classification differences reported in the literature may depend on age and methods employed for classification. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2019,10.1002/dys.1638,Dual-route model/Double-deficit hypothesis,4,S7,Not applicable,Not applicable,Not applicable,Not applicable
ID32,ID32_02,Diagnostic implications of the double deficit model for young adolescents with dyslexia,Dyslexia: An International Journal of Research and Practice,"Harrison, A. G., & Stewart, M.","Considerable support exists for both the phonological core deficit and the naming speed deficit models of dyslexia. The double deficit model proposed that many students with dyslexia might also be impaired in both underlying processes. Employing either performance thresholds (i.e., scores below the 16th or 25th percentile) or k‚Äêmeans clustering as classification methods, the current study investigated whether 154 young adolescents with dyslexia could be categorized into subtypes according to the presence or absence of phonological deficits alone, naming speed deficits alone, or a combination of the two and whether group composition changed depending on classification method. Results support the existence of both single and double deficit groups and confirm that those with both deficits are the most severely impaired across multiple measures. Contrary to previous research, most adolescents were classified as either naming speed only (about a third of the group) or double deficit when defining impairment using performance thresholds to classify groups. This may suggest that although early phonological deficits are amenable to remediation, identification of language symbols fails to become automatized in most individuals with dyslexia and may require more targeted intervention. Classification differences reported in the literature may depend on age and methods employed for classification. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2019,10.1002/dys.1638,Dual-route model/Double-deficit hypothesis,4,S7,Not applicable,Not applicable,Not applicable,Not applicable
ID59,ID59_01,The identification and classification of struggling readers based on the simple view of reading,Dyslexia: An International Journal of Research and Practice,"Sleeman, M., Everatt, J., Arrow, A., & Denston, A.","The simple view of reading (SVR) predicts that reading difficulties can result from decoding difficulties, language comprehension difficulties, or a combination of these difficulties. However, classification studies have identified a fourth group of children whose reading difficulties are unexplained by the model. This may be due to the type of classification model used. The current research included 209 children in Grades 3‚Äì5 (8‚Äì10 years of age) from New Zealand. Children were classified using the traditional approach and a cluster analysis. In contrast to the traditional classification model, the cluster analysis approach eliminated the unexplained reading difficulties group, suggesting that poor readers can be accurately assigned to one of three groups, which are consistent with those predicted by the SVR. The second set of analyses compared the three poor reader groups across 14 measures of reading comprehension, decoding, language comprehension, phonological awareness, and rapid naming. All three groups demonstrated reading comprehension difficulties, but the dyslexia group showed particular weaknesses in word processing and phonological areas, the SCD group showed problems deriving meaning from oral language, and the mixed group showed general deficits in most measures. The findings suggest that the SVR does have the potential to determine reading profiles and differential intervention methods. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2022,10.1002/dys.1719,Simple View of Reading,4,S7,Not applicable,Not applicable,Not applicable,Not applicable
ID59,ID59_02,The identification and classification of struggling readers based on the simple view of reading,Dyslexia: An International Journal of Research and Practice,"Sleeman, M., Everatt, J., Arrow, A., & Denston, A.","The simple view of reading (SVR) predicts that reading difficulties can result from decoding difficulties, language comprehension difficulties, or a combination of these difficulties. However, classification studies have identified a fourth group of children whose reading difficulties are unexplained by the model. This may be due to the type of classification model used. The current research included 209 children in Grades 3‚Äì5 (8‚Äì10 years of age) from New Zealand. Children were classified using the traditional approach and a cluster analysis. In contrast to the traditional classification model, the cluster analysis approach eliminated the unexplained reading difficulties group, suggesting that poor readers can be accurately assigned to one of three groups, which are consistent with those predicted by the SVR. The second set of analyses compared the three poor reader groups across 14 measures of reading comprehension, decoding, language comprehension, phonological awareness, and rapid naming. All three groups demonstrated reading comprehension difficulties, but the dyslexia group showed particular weaknesses in word processing and phonological areas, the SCD group showed problems deriving meaning from oral language, and the mixed group showed general deficits in most measures. The findings suggest that the SVR does have the potential to determine reading profiles and differential intervention methods. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2022,10.1002/dys.1719,Simple View of Reading,3,S7,Not applicable,Not applicable,Not applicable,Not applicable
ID59,ID59_03,The identification and classification of struggling readers based on the simple view of reading,Dyslexia: An International Journal of Research and Practice,"Sleeman, M., Everatt, J., Arrow, A., & Denston, A.","The simple view of reading (SVR) predicts that reading difficulties can result from decoding difficulties, language comprehension difficulties, or a combination of these difficulties. However, classification studies have identified a fourth group of children whose reading difficulties are unexplained by the model. This may be due to the type of classification model used. The current research included 209 children in Grades 3‚Äì5 (8‚Äì10 years of age) from New Zealand. Children were classified using the traditional approach and a cluster analysis. In contrast to the traditional classification model, the cluster analysis approach eliminated the unexplained reading difficulties group, suggesting that poor readers can be accurately assigned to one of three groups, which are consistent with those predicted by the SVR. The second set of analyses compared the three poor reader groups across 14 measures of reading comprehension, decoding, language comprehension, phonological awareness, and rapid naming. All three groups demonstrated reading comprehension difficulties, but the dyslexia group showed particular weaknesses in word processing and phonological areas, the SCD group showed problems deriving meaning from oral language, and the mixed group showed general deficits in most measures. The findings suggest that the SVR does have the potential to determine reading profiles and differential intervention methods. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2022,10.1002/dys.1719,Simple View of Reading,4,S7,Not applicable,Not applicable,Not applicable,Not applicable
ID75,ID75_01,Understanding the nature and severity of reading difficulties among students with language and reading comprehension difficulties,Annals of Dyslexia,"Capin, P., Gillam, S. L., Fall, A.-M., Roberts, G., Dille, J. T., & Gillam, R. B.","This study investigated the presence of word reading difficulties in a sample of students in Grades 1‚Äì4 (n = 357) identified with language and reading comprehension difficulties. This study also examined whether distinct word reading and listening comprehension profiles emerged within this sample and the extent to which these groups varied in performance on cognitive and demographic variables. Findings showed that the majority of students (51%) with language and reading comprehension difficulties demonstrated significant risk in word reading (more than 1 SD below the mean), even though the participant screening procedures did not examine word reading directly. Three latent profiles emerged when students were classified into subgroups based on their performance in listening comprehension (LC) and word reading (WR): (1) severe difficulties in LC and moderate difficulties in WR (11%), (2) mild difficulties in both LC and WR (50%), and (3) moderate difficulties in LC and mild difficulties in WR (39%). Of note, even though students were identified for participation on the basis of poor oral language and reading comprehension abilities, all profiles demonstrated some degree of word reading difficulties. Findings revealed there were differences in age and performance on measures of working memory, nonverbal reasoning, and reading comprehension performance between profiles. Implications for educators providing instruction to students with or at risk for dyslexia and developmental language disorders were discussed. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2022,10.1007/s11881-022-00255-3,Simple View of Reading,3,S7,Not applicable,Not applicable,Not applicable,Not applicable
ID125,ID_125_01,Profiling the word reading abilities of school-age children with neurofibromatosis type 1,Journal of the International Neuropsychological Society,"Arnold, S. S., Payne, J. M., McArthur, G., North, K. N., & Barton, B.","Objective: Reading difficulties are one of the most significant challenges for children with neurofibromatosis type 1 (NF1). The aims of this study were to identify and categorize the types of reading impairments experienced by children with NF1 and to establish predictors of poor reading in this population. Method: Children aged 7‚Äì12 years with NF1 (n = 60) were compared with typically developing children (n = 36). Poor word readers with NF1 were classified according to impairment type (i.e., phonological, surface, mixed), and their reading subskills were compared. A hierarchical multiple regression was conducted to identify predictors of word reading. Results: Compared to controls, children with NF1 demonstrated significantly poorer literacy abilities. Of the 49 children with NF1 classified as poor readers, 20 (41%) were classified with phonological dyslexia, 24 (49%) with mixed dyslexia, and 5 (10%) fell outside classification categories. Children with mixed dyslexia displayed the most severe reading impairments. Stronger working memory, better receptive language, and fewer inattentive behaviors predicted better word reading skills. Conclusions: The majority of children with NF1 experience deficits in key reading skills which are essential for them to become successful readers. Weaknesses in working memory, receptive language, and attention are associated with reading difficulties in children with NF1. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",2021,10.1017/S135561772000106X,Dual-route model/Double-deficit hypothesis,4,S7,Not applicable,Not applicable,Not applicable,Not applicable
ID126,ID_126_01,"Sequential and spatial letter reversals in adults with dyslexia during a word comparison task: demystifying the ""was saw"" and ""db"" myths",Clinical Linguistics & Phonetics,"Peter, B., Albert, A., Panagiotides, H., & Gray, S.","Whether sequential and spatial letter reversals characterize dyslexia in children has been unclear, largely due to developmental variability of these errors in children with and without dyslexia. Here we demonstrate both types of reversals for the first time in adults with dyslexia (n = 22) but not in control adults (n = 20). Participants evaluated 576 word pairs that consisted of two identical words or two words that differed subtly, by categorizing them as same or different. Two subsets of word pairs differed in sequential (e.g. ""two tow"") and spatial (e.g. ""cob cod"") letter reversals. The adults with dyslexia were less accurate than the controls regarding both types of word pairs. Their accuracy during left/right letter reversals was lower, compared to both up/down letter reversals (e.g. ""cub cup"") and nonsymmetric letter similarities (e.g. ""half halt""). Accuracy during left/right reversals was correlated with accuracy during sequential rearrangement in the word pair task as well as with a composite measure of sequential processing based on nonword repetition, nonword reading, and multisyllabic word repetition. It was also correlated with a composite measure of literacy skills. A subset of the dyslexia group who produced left/right errors during a rapid single letter naming task obtained lower accuracy than the dyslexia subgroup without such errors during both types of letter reversals, and their overall literacy skills were lower. We conclude that sequential and left/right letter reversals characterize a severe dyslexia subtype. These two types of reversal are associated, are part of a general deficit in sequential processing likely due to cerebellar deficits, and persist into adulthood.",2021,10.1080/02699206.2019.1705916,Sequential processing deficit theory,2,S7,Not applicable,Not applicable,Not applicable,Not applicable
ID127,ID_127_01,Spelling errors reveal underlying sequential and spatial processing deficits in adults with dyslexia,Clinical Linguistics & Phonetics,"Peter, B., Albert, A., & Gray, S.","ABSTRACT Recent studies showed that some adults with dyslexia have difficulty processing sequentially arranged information. In a companion study, this deficit manifested as low accuracy during a word pair comparison task involving same/different decisions when two words differed in their letter sequences. This sequential deficit was associated with left/right spatial letter confusion. In the present study, we found the same underlying difficulty with sequential and spatial letter processing during word spelling. Participants were the same 22 adults with dyslexia and 20 age- and gender-matched controls as in the companion study. In the spelling task, sequential error rates were higher in the dyslexia group, compared to the controls. Measures of accuracy of serial letter order during the spelling task and the word comparison task were correlated. Only three participants, each with dyslexia, produced left/right letter reversals during spelling. These were the same participants who produced left/right errors when naming single letters. They also had profound difficulty with sequential and left/right letter processing in the spelling and word comparison tasks, and they had the most severe spelling impairment. We conclude that this pervasive, persistent difficulty with sequential and spatial reversals contributes to a severe dyslexia subtype. In the dyslexia group as a whole, additional and separate sources of errors were underspecified word representations in long-term memory and homophone errors that likely represent language-based deficits in word knowledge. In the participants, these three factors (sequential/spatial letter confusion, underspecified word form representation, language-based deficits) occurred either as single factors or in combination with each other. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",2021,10.1080/02699206.2020.1780322,Sequential processing deficit theory,2,S7,Not applicable,Not applicable,Not applicable,Not applicable
ID131,ID_131_01,Varieties of cognitive profiles in poor readers: Evidence for a VAS-impaired subtype,Journal of Learning Disabilities,"Valdois, S., Reilhac, C., Ginestet, E., & Bosse, M. L.","A wide share of secondary school children does not reach the expected competence level in reading. These children could benefit from more efficient intervention responses, providing a better understanding of their cognitive weaknesses/deficits. Our aim was to explore the cognitive heterogeneity of a population of poor readers identified from a large sample of 948 sixth-grade children. We first assessed the contribution of phoneme awareness (PA), rapid automatized naming (RAN), and visual attention span (VAS) to reading performance in a subset of 281 children including poor and average readers/spellers. We show that all three skills are unique and significant predictors of reading fluency. We then restricted the analysis to participants with normal Raven‚Äôs score (IQ) and oral language skills to focus on 110 children with more specific reading difficulties. A unique VAS deficit was found in 18% of these poor readers while 20% and 15.5% showed a unique PA or RAN deficit. Children with multiple or no deficit were further identified. The overall findings provide evidence for a variety of cognitive profiles in poor readers. They suggest that, in addition to PA interventions, training programs targeting VAS might be useful for the nontrivial share of poor readers who exhibit a VAS deficit. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2021,10.1177/0022219420961332,Unknown,8,S7,Triple disorder,"Fell below the 10th percentile of the normal reader group factorial coefficient in phoneme awareness, visual-attention span, and RAN",Phoneme-awareness-RAN-visual-attention-deficit,3.60%
ID135,ID_135_01,Flicker fusion thresholds as a clinical identifier of a magnocellular-deficit dyslexic subgroup,Scientific Reports,"Peters, J. L., Bavin, E. L., Brown, A., Crewther, D. P., & Crewther, S. G.","The magnocellular-dorsal system is well isolated by high temporal frequency. However, temporal processing thresholds have seldom been explored in developmental dyslexia nor its subtypes. Hence, performances on two, four-alternative forced-choice achromatic flicker fusion threshold tasks modulated at low (5%) and high (75%) temporal contrast were compared in dyslexic and neurotypical children individually matched for age and intelligence (8-12 years, n=54 per group). As expected, the higher modulation resulted in higher flicker fusion thresholds in both groups. Compared to neurotypicals, the dyslexic group displayed significantly lower ability to detect flicker at high temporal frequencies, both at low and high temporal contrast. Yet, discriminant analysis did not adequately distinguish the dyslexics from neurotypicals, on the basis of flicker thresholds alone. Rather, two distinct dyslexic subgroups were identified by cluster analysis - one characterised by significantly lower temporal frequency thresholds than neurotypicals (referred to as 'Magnocellular-Deficit' dyslexics; 53.7%), while the other group ('Magnocellular-Typical' dyslexics; 46.3%) had comparable thresholds to neurotypicals. The two dyslexic subgroups were not differentially associated with phonological or naming speed subtypes and showed comparable mean reading rate impairments. However, correlations between low modulation flicker fusion threshold and reading rate for the two subgroups were significantly different (p=.0009). Flicker fusion threshold performances also showed strong classification accuracy (79.3%) in dissociating the Magnocellular-Deficit dyslexics and neurotypicals. We propose that temporal visual processing impairments characterize a previously unidentified subgroup of dyslexia and suggest that measurement of flicker fusion thresholds could be used clinically to assist early diagnosis and appropriate treatment recommendations for dyslexia.",2020,10.1038/s41598-020-78552-3,Temporal processing deficit theory,2,S7,Not applicable,Not applicable,Not applicable,Not applicable
ID135,ID_135_02,Flicker fusion thresholds as a clinical identifier of a magnocellular-deficit dyslexic subgroup,Scientific Reports,"Peters, J. L., Bavin, E. L., Brown, A., Crewther, D. P., & Crewther, S. G.","The magnocellular-dorsal system is well isolated by high temporal frequency. However, temporal processing thresholds have seldom been explored in developmental dyslexia nor its subtypes. Hence, performances on two, four-alternative forced-choice achromatic flicker fusion threshold tasks modulated at low (5%) and high (75%) temporal contrast were compared in dyslexic and neurotypical children individually matched for age and intelligence (8-12 years, n=54 per group). As expected, the higher modulation resulted in higher flicker fusion thresholds in both groups. Compared to neurotypicals, the dyslexic group displayed significantly lower ability to detect flicker at high temporal frequencies, both at low and high temporal contrast. Yet, discriminant analysis did not adequately distinguish the dyslexics from neurotypicals, on the basis of flicker thresholds alone. Rather, two distinct dyslexic subgroups were identified by cluster analysis - one characterised by significantly lower temporal frequency thresholds than neurotypicals (referred to as 'Magnocellular-Deficit' dyslexics; 53.7%), while the other group ('Magnocellular-Typical' dyslexics; 46.3%) had comparable thresholds to neurotypicals. The two dyslexic subgroups were not differentially associated with phonological or naming speed subtypes and showed comparable mean reading rate impairments. However, correlations between low modulation flicker fusion threshold and reading rate for the two subgroups were significantly different (p=.0009). Flicker fusion threshold performances also showed strong classification accuracy (79.3%) in dissociating the Magnocellular-Deficit dyslexics and neurotypicals. We propose that temporal visual processing impairments characterize a previously unidentified subgroup of dyslexia and suggest that measurement of flicker fusion thresholds could be used clinically to assist early diagnosis and appropriate treatment recommendations for dyslexia.",2020,10.1038/s41598-020-78552-3,Dual-route model/Double-deficit hypothesis,4,S7,Not applicable,Not applicable,Not applicable,Not applicable
ID144,ID_144_01,Influence of comorbidity on working memory profile in dyslexia and developmental coordination disorder,Journal of Clinical and Experimental Neuropsychology,"Maziero, S., Tallet, J., Bellocchi, S., Jover, M., Chaix, Y., & Jucla, M.","Objective: Many studies report a deficit in working memory in children with Developmental Dyslexia (DD) and Developmental Coordination Disorder (DCD) compared to children with Typical Development (TD). In this study, we questioned the working memory profile of children with co-occurring Developmental Dyslexia and Developmental Coordination Disorder (DD-DCD). First, we hypothesized that children with DD would have a more substantial deficit in verbal working memory, while children with DCD would have a more substantial deficit in visuospatial working memory. For the comorbid group, we postulated a deficit in both the verbal and visuospatial domains. Second, we determined whether we could correctly distinguish between the four groups based on their working memory profiles. Method: 47 children with DD, 22 children with DCD, 27 children with DD-DCD, and 42 TD children aged from 7.6 to 12.6 years were tested on the phonological loop, the visuospatial sketchpad, and the central executive using the Digit Span and Wechsler‚Äôs Block-tapping tests. Results: Children with DD had a deficit in verbal working memory including a specific deficit in the phonological loop and children with DCD had a deficit in visuospatial working memory. Comorbid children had poorer performance in verbal working memory (like group with DD) and in visuospatial working memory (like group with DCD). Exploratory cluster analysis resulted in four subgroups: (1) one cluster with good working memory performance made up of most of the TD children; (2) one cluster with a phonological loop deficit mainly made up of the children with DD; (3) one cluster with poor visuospatial working memory capacities mostly made up of the children with DCD (¬± DD) and (4) one cluster with average performance made up of children from all the groups. Conclusion: Our results underline the importance of taking comorbidity into account when testing working memory in children with learning disabilities. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",2020,10.1080/13803395.2020.1798880,Working memory deficit theory,4,S7,Not applicable,Not applicable,Not applicable,Not applicable
ID150,ID_150_01,Exploring the phonological profiles of children with reading difficulties: A multiple case study,Dyslexia: An International Journal of Research and Practice,"Mundy, I. R., & Hannant, P.","Studies of group differences have established that the phonological profiles of people with reading difficulties contain both strengths and weaknesses. The current study extends this work by exploring individual differences in phonological ability using a multiple case study approach. A heterogeneous sample of 56 children (M age = 9 years) with reading difficulties completed a battery of tasks measuring literacy, phonological processing, expressive vocabulary and general ability. The phonological tasks included measures of phonological awareness (PA), phonological memory (PM), and rapid naming (RAN). A majority‚Äîalthough not all‚Äîof the children had phonological processing impairments. However, there was also substantial variability in the nature of children's phonological difficulties. While multiple impairments encompassing two or more phonological domains were most common, impairments that were specific to PA, PM or RAN also occurred frequently. Even within the domain of PA, where children completed three well‚Äêmatched tasks, individual children were rarely impaired across all three measures and a number of different profiles were observed. Additional, group‚Äêlevel analyses indicated that PA was a significant predictor of decoding while RAN was a significant predictor of automatic word recognition and comprehension. Findings are discussed with reference to conceptual models of phonological processing and implications for assessment. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",2020,10.1002/dys.1667,Phonological processing model,8,S7,No deficit,"At least at 1SD or above the population mean in all the phonological awareness, phonological retrieval and phonological memory tasks",No deficit,Not reported
ID161,ID_161_01,Effect of READ1 on latent profiles of reading disorder and comorbid attention and language impairment subtypes,Child Neuropsychology: A Journal on Normal and Abnormal Development in Childhood and Adolescence,"Li, M., Truong, D. T., DeMille, M., Malins, J. G., Lovett, M. W., Bosson-Heenan, J., Gruen, J. R., & Frijters, J. C.","Recent studies of co-occurring reading disorder (RD) and attention deficit/hyperactivity disorder (ADHD), and co-occurring RD and language impairment (LI), support a core disability plus co-occurrence model focused on language and attention. Genetic factors have been associated with poor reading performance. However, little is known about whether different genetic variants independently contribute to RD co-occurrence subtypes. We aimed to identify subgroups of struggling readers using a latent profile analysis (LPA) in a sample of 1,432 Hispanic American and African American youth. RD classes were then tested for association with variants of READ1, a regulatory element within the candidate RD risk gene, DCDC2. Six groups were identified in the LPA using RD designation as a known-class variable. The three RD classes identified groups of subjects with neurocognitive profiles representing RD+ADHD, specific phonological deficit RD, and RD+LI. Genetic associations across RD subtypes were investigated against functional groupings of READ1. The RU1-1 group of READ1 alleles was associated with RD cases that were marked by deficits in both processing speed and attention (RD + ADHD). The DCDC2 microdeletion that encompasses READ1 was associated with RD cases showing a phonological deficit RD profile. These findings provide evidence for differential genetic contribution to RD subtypes, and that previously implicated genetic variants for RD may share an underlying genetic architecture across population groups for reading disorder. (PsycINFO Database Record (c) 2020 APA, all rights reserved)",2020,10.1080/09297049.2019.1648642,Multiple-deficit theory,6,S7,Not applicable,Not applicable,Not applicable,Not applicable
ID184,ID_184_01,Are children with developmental dyslexia all the same? A cluster analysis with more than 300 cases,Dyslexia: An International Journal of Research and Practice,"Giofrè, D., Toffalini, E., Provazza, S., Calcagnì, A., Altoè, G., & Roberts, D. J.","Reading is vital to every aspect of modern life, exacerbated by reliance of the internet, email, and social media on the written medium. Developmental dyslexia (DD) characterizes a disorder in which the core deficit involves reading. Traditionally, DD is thought to be associated with a phonological impairment. However, recent evidence has begun to suggest that the reading impairment in some individuals is provoked by a visual processing deficit. In this paper, we present WISC‚ÄêIV data from more than 300 Italian children with a diagnosis of DD to investigate the manifestation of phonological and visual subtypes. Our results indicate the existence of two clusters of children with DD. In one cluster, the deficit was more pronounced in the phonological component, while both clusters were impaired in visual processing. These data indicate that DD may be an umbrella term that encompasses different profiles. From a theoretical perspective, our results demonstrate that dyslexia cannot be explained in terms of an isolated phonological deficit alone; visual impairment plays a crucial role. Moreover, general rather than specific accounts of DD are discussed. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2019,10.1002/dys.1629,Primary systems view,2,S7,Not applicable,Not applicable,Not applicable,Not applicable
ID217,ID_217_01,Variations within a subtype: Developmental surface dyslexias in English,Cortex: A Journal Devoted to the Study of the Nervous System and Behavior,"Kohnen, S., Nickels, L., Geigis, L., Coltheart, M., McArthur, G., & Castles, A.","Surface dyslexia is characterised by poor reading of irregular words while nonword reading can be completely normal. Previous work has identified several theoretical possibilities for the underlying locus of impairment in surface dyslexia. In this study, we systematically investigated whether children with surface dyslexia showed different patterns of reading performance that could be traced back to different underlying levels of impairment. To do this, we tested 12 English readers, replicating previous work in Hebrew (Gvion & Friedmann, 2013; 2016; Friedmann & Lukov, 2008; Friedmann & Gvion, 2016). In our sample, we found that poor irregular word reading was associated with deficits at the level of the orthographic input lexicon and with impaired access to meaning and spoken word forms after processing written words in the orthographic input lexicon. There were also children whose surface dyslexia seemed to be caused by impairments of the phonological output lexicon. We suggest that further evidence is required to unequivocally support a fourth pattern where the link between orthography and meaning is intact while the link between orthography and spoken word forms is not functioning. All patterns found were consistent with dual route theory while possible patterns of results, which would be inconsistent with dual route theory, were not detected. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",2018,10.1016/j.cortex.2018.04.008,Unknown,4,S7,Not applicable,Not applicable,Not applicable,Not applicable
ID236,ID_236_01,Examining the double-deficit hypothesis in vowelized-transparent Arabic in a national representative sample of Grades 3 and 4,Dyslexia: An International Journal of Research and Practice,"Asadi, I. A., & Shany, M.","We examined the double‚Äêdeficit hypothesis in Arabic by investigating the reading and cognitive profiles of readers with selective deficits in naming speed, phonological awareness, or both. In a nationally representative sample of 486 children in the third and fourth grades, we identified 171 children with reading difficulties: 20 (12%) were classified as having a phonological deficit, 31 (18%) as having a naming speed deficit, and 41 (24%) as having a double deficit. Differences between the subgroups extended to reading, cognitive, and linguistic processes beyond phonological and naming abilities. Children with a double deficit performed worse than those with a naming speed deficit but similar to those with a phonological deficit. Numerous unconfirmed theories led to an in‚Äêdepth analysis of the nature of rapid automatized naming and its relation to orthographic processing. Surprisingly, our findings revealed that orthographic processing may be considered a novel and separate core deficit, suggesting a triple deficit in Arabic rather than a double deficit. The findings are discussed in light of the uniqueness and complexity of Arabic orthography and orthographic transparency in the Arabic language. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",2018,10.1002/dys.1594,Dual-route model/Double-deficit hypothesis,4,S7,Not applicable,Not applicable,Not applicable,Not applicable
